kind,is_rep,variant,band,i,j,pair,dt_days,phase_days,hrsn_cc,das_cc,z_lo,z_hi,dvv,err,n,rms,dvv_edge,tau_s
repeater,True,snr_eq,5-20,2,185,2024-05-13/2025-07-27,440.14561342592594,74.0,0.9908045384847818,0.6833187942310601,2.0,25.0,,,3,,,
repeater,True,snr_eq,5-20,2,185,2024-05-13/2025-07-27,440.14561342592594,74.0,0.9908045384847818,0.6833187942310601,25.0,50.0,0.622339010902796,1.9018074634831132,7,0.0063842508599662225,,0.01823659157543684
repeater,True,snr_eq,5-20,2,185,2024-05-13/2025-07-27,440.14561342592594,74.0,0.9908045384847818,0.6833187942310601,50.0,100.0,-0.723690415894917,0.11672628542951256,35,0.007157419325581947,0.409614575864573,0.025170288522337637
repeater,True,snr_eq,5-20,2,185,2024-05-13/2025-07-27,440.14561342592594,74.0,0.9908045384847818,0.6833187942310601,100.0,200.0,-0.058061150718455336,0.11979205477143795,31,0.007164392070426336,-0.049941979479115314,0.03317922861328666
repeater,True,snr_eq,5-20,2,185,2024-05-13/2025-07-27,440.14561342592594,74.0,0.9908045384847818,0.6833187942310601,200.0,400.0,-0.03063662826530678,0.055659634021408506,65,0.00917850697574423,-0.058286465422762584,0.06090874428561975
repeater,True,snr_eq,5-20,2,185,2024-05-13/2025-07-27,440.14561342592594,74.0,0.9908045384847818,0.6833187942310601,400.0,600.0,-0.01638729578916938,0.0644459768832252,71,0.009392419357600773,0.09220025599108866,0.06509885812265248
repeater,True,snr_eq,5-20,2,185,2024-05-13/2025-07-27,440.14561342592594,74.0,0.9908045384847818,0.6833187942310601,600.0,850.0,0.01416916972778666,0.07069715117290486,80,0.010360058969266138,-0.20944480277180608,0.06191701608881667
repeater,True,main,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,2.0,75.0,-0.033270599024332895,0.04603615403540448,25,0.001770606679386379,,0.06542062332082034
repeater,True,main,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,75.0,250.0,0.012986211852429132,0.030013724440093377,101,0.004463815452843513,0.03752484606074393,0.052763774591917764
repeater,True,main,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,250.0,550.0,-0.04062219874960442,0.016080978681234846,143,0.005248714155321744,-0.003168282135017847,0.09785539564309136
repeater,True,main,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,550.0,850.0,0.053112984253674854,0.023910127991253385,113,0.0049093252301464175,0.23105203483652048,0.07761748272974536
repeater,True,main,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,2.0,25.0,,,1,,,
repeater,True,main,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,25.0,50.0,-1.089979921918406,0.40555254957659803,7,0.002362832343282652,,0.01823659157543684
repeater,True,main,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,50.0,100.0,-0.1257006005319873,0.07522936405610477,34,0.0038675477649368645,-0.02861897555274316,0.025170288522337637
repeater,True,main,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,100.0,200.0,-0.08960056500183225,0.039795808511216224,56,0.0036298577722106615,0.02439237372177448,0.03317922861328666
repeater,True,main,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,200.0,400.0,-0.026155400807976115,0.022900073195134433,102,0.0049435868533198625,0.04805608411881933,0.06090874428561975
repeater,True,main,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,400.0,600.0,0.019516466711830268,0.04170145231116223,84,0.005425723353974137,-0.017226887726959343,0.06509885812265248
repeater,True,main,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,600.0,850.0,0.0874919989475001,0.031991272223437915,97,0.004641082324317662,0.2889486912413621,0.06191701608881667
repeater,True,acausal,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,2.0,75.0,,,0,,,
repeater,True,acausal,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,75.0,250.0,,,3,,,
repeater,True,acausal,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,250.0,550.0,,,0,,,
repeater,True,acausal,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,550.0,850.0,-0.003933213872266007,0.18324973942979964,14,0.005861711414028356,,0.07761748272974536
