idx,tag,time,mag,depth,lat,lon,t,r,km_safod,cl
84,ev_20250204T052750,2025-02-04 05:27:50+00:00,0.79,4.184,35.98904,-120.54859,-0.8455324331217426,0.2614822651206673,0.8850412817679236,75
85,ev_20250206T213008,2025-02-06 21:30:08+00:00,1.3,7.67,35.98099,-120.53244,0.8148800169564755,0.6560611468960758,1.0461575744129468,120
86,ev_20250207T125057,2025-02-07 12:50:57+00:00,0.81,3.989,35.98682,-120.54255,-0.2867119056073183,0.4712157713143127,0.5515868199588552,97
87,ev_20250208T205342,2025-02-08 20:53:42+00:00,1.19,10.449,35.88707,-120.4412,14.00404459004146,-0.9233567315633238,14.03445234177639,173
88,ev_20250211T011936,2025-02-11 01:19:36+00:00,1.18,13.558,35.94917,-120.50071,5.335397115357403,0.1729976063691882,5.338201059380732,1
89,ev_20250211T013548,2025-02-11 01:35:48+00:00,1.85,5.006,36.01226,-120.56869,-3.949965862209495,0.8083103833582559,4.031822911347318,37
90,ev_20250211T052714,2025-02-11 05:27:14+00:00,0.84,5.101,36.00974,-120.56471,-3.4986197404707866,0.8633955619767741,3.603580439625715,98
91,ev_20250214T131847,2025-02-14 13:18:47+00:00,0.52,6.409,36.07906,-120.6346,-13.39532333600509,1.8670128303804263,13.524807731902426,145
92,ev_20250217T164240,2025-02-17 16:42:40+00:00,1.94,4.285,36.05584,-120.60974,-9.988049079065128,1.623025539995047,10.119058074212736,53
93,ev_20250218T074425,2025-02-18 07:44:25+00:00,0.57,1.872,35.98899,-120.54817,-0.8148800234549152,0.2842723544872207,0.8630412644547137,41
94,ev_20250221T210348,2025-02-21 21:03:48+00:00,0.83,1.802,36.00064,-120.56944,-3.0840807603411595,-0.1530077524965807,3.0878739463635103,102
95,ev_20250224T043042,2025-02-24 04:30:42+00:00,1.66,4.782,36.00155,-120.55667,-2.3431746457292046,0.7309925915763427,2.454550384353045,87
96,ev_20250225T105231,2025-02-25 10:52:31+00:00,0.66,4.005,35.92931,-120.47423,8.581565086922591,0.2962519547689162,8.586677154859915,193
97,ev_20250228T000011,2025-02-28 00:00:11+00:00,1.1,4.582,36.04821,-120.60367,-9.001968362639268,1.4093161786379445,9.111619312357652,139
98,ev_20250301T193338,2025-03-01 19:33:38+00:00,0.82,3.831,36.00901,-120.57262,-3.94447500150513,0.3027504245626726,3.956076447324012,61
99,ev_20250302T112059,2025-03-02 11:20:59+00:00,0.82,7.767,36.10596,-120.59776,-13.166452181988769,6.325812305804617,14.607236712974355,166
100,ev_20250302T113833,2025-03-02 11:38:33+00:00,1.06,8.171,36.10725,-120.60601,-13.792757800787198,5.902354550746112,15.002598341417045,146
101,ev_20250302T132254,2025-03-02 13:22:54+00:00,1.69,7.976,36.09965,-120.61145,-13.541325261245706,4.958714404685026,14.420691328021755,147
102,ev_20250303T170008,2025-03-03 17:00:08+00:00,0.92,8.684,36.10491,-120.6035,-13.449088228895038,5.878067532597058,14.6775220015633,161
103,ev_20250303T173227,2025-03-03 17:32:27+00:00,0.73,6.616,36.08396,-120.61656,-12.632835741956018,3.4000078138306744,13.082377154682211,34
104,ev_20250303T192641,2025-03-03 19:26:41+00:00,0.96,6.417,36.0812,-120.61347,-12.219243651662914,3.379599823563836,12.677997096786902,167
105,ev_20250303T234203,2025-03-03 23:42:03+00:00,1.19,8.57,36.10436,-120.59744,-13.020296009938512,6.220374228253919,14.42987053739382,143
106,ev_20250304T011324,2025-03-04 01:13:24+00:00,0.85,8.571,36.10245,-120.59674,-12.825590276346928,6.114739326384638,14.20865239797074,163
107,ev_20250304T025205,2025-03-04 02:52:05+00:00,1.79,7.932,36.09834,-120.61262,-13.51276663182574,4.781280242245181,14.33371908476887,144
108,ev_20250304T075905,2025-03-04 07:59:05+00:00,1.08,8.106,36.10571,-120.60304,-13.482720660872642,5.970232225420489,14.745420619452377,35
109,ev_20250304T133912,2025-03-04 13:39:12+00:00,0.61,1.158,36.0543,-120.62769,-11.008984653154917,0.3599305006639639,11.014866910621691,194
