tag_i,tag_j,t_i,t_j,m_i,m_j,dt_days,das_min,das_2_8,das_4_16,das_10_40,hrsn,nsta,kind
ev_20241230T181733,ev_20260126T024629,2024-12-30 18:17:33+00:00,2026-01-26 02:46:29+00:00,1.79,0.78,391.35342592592593,0.444597996313321,0.6686985103281807,0.6244720349099678,0.444597996313321,0.5140838461323705,8,candidate
ev_20240902T194504,ev_20260121T094534,2024-09-02 19:45:04+00:00,2026-01-21 09:45:34+00:00,2.2,2.01,505.58368055555553,0.42941785573882,0.6803462724380216,0.5206708618244615,0.42941785573882,0.5642609705408212,7,candidate
ev_20240510T122958,ev_20240708T083036,2024-05-10 12:29:58+00:00,2024-07-08 08:30:36+00:00,1.12,0.65,58.83377314814815,0.4283720964882749,0.4489412911858499,0.5557900200791348,0.4283720964882749,0.9449620931532422,4,candidate
ev_20241020T232837,ev_20250711T021610,2024-10-20 23:28:37+00:00,2025-07-11 02:16:10+00:00,1.05,3.15,263.11635416666667,0.4252609058459436,0.4252609058459436,0.5090598555419352,0.5383339768728628,0.7691562990537231,6,candidate
ev_20240522T154439,ev_20250713T201505,2024-05-22 15:44:39+00:00,2025-07-13 20:15:05+00:00,0.95,1.04,417.1878009259259,0.4178404071137636,0.6469499545688371,0.6389233156539675,0.4178404071137636,0.9574349649086269,4,candidate
ev_20240513T093029,ev_20250727T130010,2024-05-13 09:30:29+00:00,2025-07-27 13:00:10+00:00,0.78,0.84,440.14561342592594,0.4144209137095757,0.4144209137095757,0.5941783733471421,0.5429913001771842,0.990804538484782,5,candidate
ev_20240901T170140,ev_20260126T024629,2024-09-01 17:01:40+00:00,2026-01-26 02:46:29+00:00,1.46,0.78,511.4061226851852,0.4096991090651035,0.5909504455736819,0.555574495884333,0.4096991090651035,0.43653332509790654,7,candidate
ev_20240609T163544,ev_20250406T145218,2024-06-09 16:35:44+00:00,2025-04-06 14:52:18+00:00,1.85,0.81,300.9281712962963,0.393432724451334,0.6542207014086697,0.6312848683817844,0.393432724451334,0.8117569134755118,5,candidate
ev_20241230T181733,ev_20250727T130010,2024-12-30 18:17:33+00:00,2025-07-27 13:00:10+00:00,1.79,0.84,208.7795949074074,0.3927663985241497,0.718419736577782,0.6226059429873172,0.3927663985241497,0.37673058516537783,8,candidate
ev_20240609T163544,ev_20250406T061956,2024-06-09 16:35:44+00:00,2025-04-06 06:19:56+00:00,1.85,1.77,300.5723611111111,0.3869800254760236,0.7101124087042986,0.5673487714931671,0.3869800254760236,0.5976718456116018,5,candidate
ev_20240901T113911,ev_20260126T024629,2024-09-01 11:39:11+00:00,2026-01-26 02:46:29+00:00,0.79,0.78,511.6300694444444,0.3833912475609586,0.5261395788559633,0.5381004981551212,0.3833912475609586,0.27327479603131577,7,candidate
ev_20240510T122958,ev_20250406T145218,2024-05-10 12:29:58+00:00,2025-04-06 14:52:18+00:00,1.12,0.81,331.0988425925926,0.378983518534222,0.378983518534222,0.4638388148382733,0.4681854649217953,0.9169728508880158,5,candidate
ev_20250701T112654,ev_20260126T024629,2025-07-01 11:26:54+00:00,2026-01-26 02:46:29+00:00,1.86,0.78,208.63859953703704,0.374674074104688,0.5339450892597272,0.5438287213332276,0.374674074104688,0.23587952855457223,9,candidate
ev_20250701T112654,ev_20250727T130010,2025-07-01 11:26:54+00:00,2025-07-27 13:00:10+00:00,1.86,0.84,26.06476851851852,0.3575595672650818,0.6197009010260456,0.5069634299338095,0.3575595672650818,-0.29736561818494445,8,candidate
ev_20240522T213127,ev_20250218T074425,2024-05-22 21:31:27+00:00,2025-02-18 07:44:25+00:00,2.03,0.57,271.4256712962963,0.3480032245772076,0.6728183308872184,0.6040585790334001,0.3480032245772076,0.5808712124610105,5,candidate
ev_20250221T210348,ev_20250406T125841,2025-02-21 21:03:48+00:00,2025-04-06 12:58:41+00:00,0.83,1.14,43.66311342592593,0.3467053169140469,0.3903124182185138,0.4596367817697902,0.3467053169140469,0.7671981469576477,8,candidate
ev_20250221T210348,ev_20250406T142416,2025-02-21 21:03:48+00:00,2025-04-06 14:24:16+00:00,0.83,1.18,43.72254629629629,0.3420477486453459,0.3640566306785771,0.4731941240197565,0.3420477486453459,0.7493693776429112,8,candidate
ev_20250203T071922,ev_20250521T013309,2025-02-03 07:19:22+00:00,2025-05-21 01:33:09+00:00,1.01,1.02,106.75957175925926,0.3404576604486451,0.3404576604486451,0.3918786596975971,0.4331200619121724,0.824160107686902,8,candidate
ev_20241230T043933,ev_20250602T204939,2024-12-30 04:39:33+00:00,2025-06-02 20:49:39+00:00,0.98,1.7,154.67368055555556,0.3386265965835452,0.3504481065090263,0.4357667146182796,0.3386265965835452,0.6614854707419292,7,candidate
ev_20250218T074425,ev_20260106T130643,2025-02-18 07:44:25+00:00,2026-01-06 13:06:43+00:00,0.57,1.69,322.2238194444444,0.3369933575065067,0.5493772995200076,0.4786968307001251,0.3369933575065067,0.6723097494662671,6,candidate
ev_20240513T093029,ev_20260126T024629,2024-05-13 09:30:29+00:00,2026-01-26 02:46:29+00:00,0.78,0.78,622.7194444444444,0.3352584138380173,0.3668690545907345,0.4502550386150478,0.3352584138380173,0.7615842642650678,5,candidate
ev_20240513T093029,ev_20250701T112654,2024-05-13 09:30:29+00:00,2025-07-01 11:26:54+00:00,0.78,1.86,414.0808449074074,0.3321002122376344,0.3344008762677605,0.3462420579144709,0.3321002122376344,-0.4172249014077651,5,candidate
ev_20240901T113911,ev_20250727T130010,2024-09-01 11:39:11+00:00,2025-07-27 13:00:10+00:00,0.79,0.84,329.0562384259259,0.3255885745349778,0.5837189004740136,0.4482444095249416,0.3255885745349778,0.4355289390802189,7,candidate
ev_20250701T112654,ev_20250406T142416,2025-07-01 11:26:54+00:00,2025-04-06 14:24:16+00:00,,,85.87682870370371,,,,,0.3237042955605246,9,random
ev_20241223T081615,ev_20241020T232837,2024-12-23 08:16:15+00:00,2024-10-20 23:28:37+00:00,,,63.36641203703704,,,,,0.2589046935842017,7,random
ev_20250602T204939,ev_20250406T145218,2025-06-02 20:49:39+00:00,2025-04-06 14:52:18+00:00,,,57.24815972222222,,,,,-0.1792486684301477,8,random
ev_20250511T121311,ev_20250406T142416,2025-05-11 12:13:11+00:00,2025-04-06 14:24:16+00:00,,,34.90896990740741,,,,,0.2824688075579581,9,random
ev_20250807T090509,ev_20250402T154714,2025-08-07 09:05:09+00:00,2025-04-02 15:47:14+00:00,,,126.72077546296296,,,,,0.19804766352338593,7,random
ev_20250408T040907,ev_20250602T204939,2025-04-08 04:09:07+00:00,2025-06-02 20:49:39+00:00,,,55.69481481481481,,,,,0.22674884535990353,8,random
ev_20250203T071922,ev_20250711T021610,2025-02-03 07:19:22+00:00,2025-07-11 02:16:10+00:00,,,157.78944444444446,,,,,-0.23036736568528857,7,random
ev_20240513T093029,ev_20250519T145612,2024-05-13 09:30:29+00:00,2025-05-19 14:56:12+00:00,,,371.2261921296296,,,,,0.3119509002119556,5,random
ev_20240901T170140,ev_20250602T234113,2024-09-01 17:01:40+00:00,2025-06-02 23:41:13+00:00,,,274.27746527777776,,,,,0.21542510391834255,6,random
ev_20241223T081615,ev_20240522T213127,2024-12-23 08:16:15+00:00,2024-05-22 21:31:27+00:00,,,214.4477777777778,,,,,-0.2483743955100789,5,random
ev_20240623T035208,ev_20240510T122958,2024-06-23 03:52:08+00:00,2024-05-10 12:29:58+00:00,,,43.64039351851852,,,,,0.007738704672128255,2,random
ev_20241007T174227,ev_20250406T125841,2024-10-07 17:42:27+00:00,2025-04-06 12:58:41+00:00,,,180.8029398148148,,,,,-0.3310181447720906,7,random
ev_20250110T170322,ev_20250221T210348,2025-01-10 17:03:22+00:00,2025-02-21 21:03:48+00:00,,,42.16696759259259,,,,,-0.006181019692902412,6,random
ev_20260126T024629,ev_20250602T204939,2026-01-26 02:46:29+00:00,2025-06-02 20:49:39+00:00,,,237.24780092592593,,,,,0.2059604962411954,8,random
ev_20250408T040907,ev_20260106T130643,2025-04-08 04:09:07+00:00,2026-01-06 13:06:43+00:00,,,273.37333333333333,,,,,0.30493764838913073,6,random
ev_20250602T234113,ev_20250423T174424,2025-06-02 23:41:13+00:00,2025-04-23 17:44:24+00:00,,,40.24778935185185,,,,,-0.2946681546717871,9,random
ev_20250713T201505,ev_20250110T170322,2025-07-13 20:15:05+00:00,2025-01-10 17:03:22+00:00,,,184.1331365740741,,,,,0.3466809327529915,6,random
ev_20250406T061956,ev_20250511T121311,2025-04-06 06:19:56+00:00,2025-05-11 12:13:11+00:00,,,35.2453125,,,,,0.20595326709964779,9,random
ev_20250110T170322,ev_20250402T154647,2025-01-10 17:03:22+00:00,2025-04-02 15:46:47+00:00,,,81.94681712962964,,,,,0.28393048224549444,6,random
ev_20250711T021610,ev_20240522T213127,2025-07-11 02:16:10+00:00,2024-05-22 21:31:27+00:00,,,414.1977199074074,,,,,-0.24765368273995036,4,random
ev_20250402T154647,ev_20241230T181733,2025-04-02 15:46:47+00:00,2024-12-30 18:17:33+00:00,,,92.89530092592592,,,,,0.2039212145375801,7,random
ev_20241007T174227,ev_20250406T061956,2024-10-07 17:42:27+00:00,2025-04-06 06:19:56+00:00,,,180.5260300925926,,,,,-0.2650638174398607,7,random
ev_20250511T121311,ev_20250406T081710,2025-05-11 12:13:11+00:00,2025-04-06 08:17:10+00:00,,,35.163900462962964,,,,,-0.2213884523255458,9,random
ev_20250519T145612,ev_20241230T043933,2025-05-19 14:56:12+00:00,2024-12-30 04:39:33+00:00,,,140.42822916666665,,,,,-0.23450432999960444,8,random
