kind,win,i,j,lab,contam,inc,rad,R,offset_m,dvv,err,n,rms,tau_span,coh_med
null,P,124,190,ctl,0.01014537822813744,55.16435353285604,43.61329853458739,6177.007880079213,694.4978905606839,-0.16155493886329136,0.32869033128553615,23,0.04400693288841439,0.184425272,0.030630505395323592
null,P,93,119,ctl,0.002650592995753215,66.00778806299567,14.608947696759518,12383.734783793308,2044.0034351649585,-0.37085636152599155,0.31128210484965146,27,0.03216414870817487,0.20778626249999999,0.03391450309501509
null,P,27,164,ctl,0.0008826654449327193,37.55352574624065,12.291897616602228,10706.39182665819,2089.4468738760347,-0.15004050734217497,0.16943900721514582,24,0.05152551027759712,0.1930103505,0.031603664940896725
null,P,3,195,ctl,0.009329053133799116,72.83744072280055,33.854697234139856,11750.430187722908,1551.066123874081,-0.42741419849607415,0.1671426396846415,23,0.04056768886204432,0.17908952599999997,0.03504349081125439
null,P,78,115,ctl,0.0017127784929246478,42.42746161162404,15.474582268712687,8257.835134794646,3858.9608365911417,-0.4271226848763042,0.5016080971389549,38,0.05697045650334579,0.18585326812499997,0.037904909824904645
null,P,17,143,ctl,0.002481693718062684,39.98384344837558,29.48620863992261,9964.042313693593,768.0369214215239,0.0646414880396438,0.7539145601234927,45,0.0475077743843992,0.21640554450000002,0.04063323395071478
null,P,57,74,ctl,0.007858769015888785,53.54979033523628,44.6291827606918,7688.560611714989,913.2313813386372,-0.16081124591693396,0.1050498268512541,21,0.02546964904842747,0.21117240899999998,0.0335485175425818
null,P,164,203,ctl,0.003444996714076031,61.51802429362161,16.203876862731317,8669.451032635501,1588.0745664995331,-0.3376297974641876,0.35652733653746094,72,0.05518932933314797,0.184151644,0.04626918783762657
null,P,7,64,ctl,0.011182038916317744,52.99937894049971,67.54900157596033,8016.295758634525,2642.687783911615,-0.4374696435764019,0.3939027206062952,22,0.0373941523760953,0.1759770075,0.03010142705813778
null,P,3,54,ctl,0.0121787968201091,79.26257020902828,16.967542052067394,7347.009715069518,,,,14,,,4.648703026233991e-06
null,P,8,148,ctl,0.0060037183966205,68.7379805611302,20.399472352076014,8732.021239087993,1477.049769248428,-0.43470687473239455,0.45477914806896713,39,0.053932143365019995,0.17551526025000003,0.03700523264690721
null,P,45,144,ctl,0.012768432294668255,82.91899229740432,20.165961523013397,12714.225509101965,296.029384535364,0.18743619784053267,0.20874257703960572,28,0.04184202220728019,0.33558764024999993,0.026905424160661662
null,P,71,131,ctl,0.007215827701794536,71.54261871728389,19.037895306564252,7904.739206282566,,,,19,,,1.5147946480562048e-06
null,P,122,198,ctl,0.03929214372806225,44.05452317784957,218.58428441910243,5382.41806355002,819.2045728072728,0.14725808812363186,0.4343017470093241,33,0.07748968606783428,0.25260139837499995,0.033420906684644536
null,P,92,201,ctl,0.0037675386452973012,66.17496196464282,14.608947696759518,8781.264906180459,567.3013247666278,0.14630278025163418,0.3147926698022674,24,0.034406820516672675,0.16636582399999997,0.03517573121714579
null,P,110,142,ctl,0.02543106261237832,69.57887645108053,74.0660073992822,7822.440568426709,745.0474675143296,0.25581706724661984,1.565037287779513,31,0.048124589156543746,0.05498212625000003,0.02890597706544138
