kind,is_rep,i,j,lapse,dvv,err,nsta,coda_cc,dvv_h1,dvv_h2,dt_days,phase_days,hrsn_cc,das_cc,t_i,t_j
repeater,True,26,176,1-6,9.854170144093832e-05,0.0017427875587307717,7,0.8938191936843349,0.00012040147972537259,-0.0026495774476770558,302.76752314814814,63.0,0.8528463165078962,0.6643771925074048,2024-09-01 17:01:40+00:00,2025-07-01 11:26:54+00:00
repeater,True,26,176,2-12,-0.00020826643961928073,0.0005278710664791335,7,0.8565119666421211,-0.0008179053124148844,-0.0014168837029309796,302.76752314814814,63.0,0.8528463165078962,0.6643771925074048,2024-09-01 17:01:40+00:00,2025-07-01 11:26:54+00:00
repeater,True,26,176,4-14,-0.0023547854039854977,0.0011111151692586802,7,0.8436944648248533,-0.00262473697767631,-0.001380173306916828,302.76752314814814,63.0,0.8528463165078962,0.6643771925074048,2024-09-01 17:01:40+00:00,2025-07-01 11:26:54+00:00
repeater,True,0,18,1-6,9.126597725701789e-05,0.0008665228810882839,4,0.9661536531815714,-0.00019578574634282098,-0.002578329024208491,58.83377314814815,59.0,0.944962093153242,0.6305350981812141,2024-05-10 12:29:58+00:00,2024-07-08 08:30:36+00:00
repeater,True,0,18,2-12,-0.00025909417786944207,0.0003851839147237845,4,0.9632013291667287,-0.0005801856650043904,5.573552139676556e-05,58.83377314814815,59.0,0.944962093153242,0.6305350981812141,2024-05-10 12:29:58+00:00,2024-07-08 08:30:36+00:00
repeater,True,0,18,4-14,0.0005210597320399091,0.0008744177505235181,4,0.9136573941350802,-0.0005150102293243837,0.000518792360070239,58.83377314814815,59.0,0.944962093153242,0.6305350981812141,2024-05-10 12:29:58+00:00,2024-07-08 08:30:36+00:00
repeater,True,25,176,1-6,-0.0006274560971696828,0.0019860386588432667,7,0.849813703216262,0.0021949346994115156,-0.0058626444590478164,302.9914699074074,63.0,0.817851061140602,0.6268839594565632,2024-09-01 11:39:11+00:00,2025-07-01 11:26:54+00:00
repeater,True,25,176,2-12,-0.002265080346180057,0.0006842354604745418,7,0.8422482125987065,-0.002481329900151518,-0.0005282144700938647,302.9914699074074,63.0,0.817851061140602,0.6268839594565632,2024-09-01 11:39:11+00:00,2025-07-01 11:26:54+00:00
repeater,True,25,176,4-14,-0.0019914645155351806,0.0008381833702152704,7,0.7326389813886147,-0.0024611517260212028,-0.0018773368973915238,302.9914699074074,63.0,0.817851061140602,0.6268839594565632,2024-09-01 11:39:11+00:00,2025-07-01 11:26:54+00:00
control,False,119,185,1-6,-0.006334855060274922,0.015576248941029802,5,0.2588083313581384,0.02524836211152282,0.01461567291360141,116.99887731481482,117.0,0.2101735672770996,0.1647765412328835,2025-04-01 13:01:47+00:00,2025-07-27 13:00:10+00:00
control,False,119,185,2-12,0.012388124757715191,0.009376402640318264,6,0.23707435396004373,-0.0068667368940953325,-0.011702433082687286,116.99887731481482,117.0,0.2101735672770996,0.1647765412328835,2025-04-01 13:01:47+00:00,2025-07-27 13:00:10+00:00
control,False,119,185,4-14,0.0018808030777614003,0.006997521707685364,6,0.2696040727406035,0.001344082488847658,-0.020413479116201845,116.99887731481482,117.0,0.2101735672770996,0.1647765412328835,2025-04-01 13:01:47+00:00,2025-07-27 13:00:10+00:00
control,False,53,83,1-6,-0.01261905939148247,0.013890839708276372,5,0.2988731104091647,0.025401802071469096,-0.00867282739611567,44.006458333333335,43.25,-0.0165661408512371,-0.2563573470888101,2024-12-29 01:26:30+00:00,2025-02-11 01:35:48+00:00
control,False,53,83,2-12,0.0006464646219623625,0.011355788094874841,7,0.2659005318383821,0.0007767959653822702,-0.011750812209529012,44.006458333333335,43.25,-0.0165661408512371,-0.2563573470888101,2024-12-29 01:26:30+00:00,2025-02-11 01:35:48+00:00
control,False,53,83,4-14,0.009249394325723586,0.008108171137594267,7,0.2654065064114197,0.009247071760178445,-0.0027461236435036484,44.006458333333335,43.25,-0.0165661408512371,-0.2563573470888101,2024-12-29 01:26:30+00:00,2025-02-11 01:35:48+00:00
control,False,64,103,1-6,0.01986416809207716,0.017731295482215245,5,0.42504744576601927,-0.015036978594338281,0.0013952264596315777,44.31270833333333,44.0,-0.2616554197967956,-0.2474117867951632,2025-01-19 06:08:54+00:00,2025-03-04 13:39:12+00:00
control,False,64,103,2-12,0.022478813695083727,0.011992551722535062,7,0.2865632142798775,0.02162885908398454,-0.0036402244651631277,44.31270833333333,44.0,-0.2616554197967956,-0.2474117867951632,2025-01-19 06:08:54+00:00,2025-03-04 13:39:12+00:00
control,False,64,103,4-14,0.0039028190354844193,0.00702808306340708,6,0.26978534635020035,0.005921538624470335,0.003749652525447931,44.31270833333333,44.0,-0.2616554197967956,-0.2474117867951632,2025-01-19 06:08:54+00:00,2025-03-04 13:39:12+00:00
control,False,61,140,1-6,-0.0008421394889965806,0.010152599964488935,4,0.329880970451364,-0.011961528394556225,-0.003106542270051021,95.81232638888888,96.0,0.2145478796571104,-0.1533532999635588,2025-01-10 23:05:32+00:00,2025-04-16 18:35:17+00:00
control,False,61,140,2-12,0.007153329930121973,0.017113526263920046,6,0.21510897732237408,0.0034726124635964207,-0.019513291515558105,95.81232638888888,96.0,0.2145478796571104,-0.1533532999635588,2025-01-10 23:05:32+00:00,2025-04-16 18:35:17+00:00
control,False,61,140,4-14,-0.0007170347324869128,0.014306773232008642,6,0.23779559048210644,-0.007416920786308238,-0.03637397980994615,95.81232638888888,96.0,0.2145478796571104,-0.1533532999635588,2025-01-10 23:05:32+00:00,2025-04-16 18:35:17+00:00
control,False,100,134,1-6,-0.002978653928640558,0.01330962694949535,9,0.3222382260906776,0.014557148580068579,-0.017750392796379175,36.99189814814815,37.0,-0.1777362430910519,0.12601347404682,2025-03-04 01:13:24+00:00,2025-04-10 01:01:44+00:00
control,False,100,134,2-12,-0.017607620043316403,0.00974946505548328,8,0.26947685531449106,-0.020347923946758717,0.01480977074563424,36.99189814814815,37.0,-0.1777362430910519,0.12601347404682,2025-03-04 01:13:24+00:00,2025-04-10 01:01:44+00:00
control,False,100,134,4-14,-0.004421093341019619,0.012807390280137686,9,0.2438431975410627,-0.012441307479057046,0.010500309145067353,36.99189814814815,37.0,-0.1777362430910519,0.12601347404682,2025-03-04 01:13:24+00:00,2025-04-10 01:01:44+00:00
control,False,7,166,1-6,0.005918514061260849,0.0017011444516031639,2,0.5136105390702559,0.026109143707500622,0.01500687831103818,362.9401157407408,3.0,0.0080840918349535,0.2910186109819792,2024-06-09 16:35:44+00:00,2025-06-07 15:09:30+00:00
control,False,7,166,2-12,0.023703761548689455,0.008499606769324361,2,0.3638892306525414,0.01311471806021624,0.011420243892776315,362.9401157407408,3.0,0.0080840918349535,0.2910186109819792,2024-06-09 16:35:44+00:00,2025-06-07 15:09:30+00:00
control,False,7,166,4-14,0.012902540105955405,0.01948354253989902,3,0.38860251666716306,-0.013266047016173602,0.01099866247857251,362.9401157407408,3.0,0.0080840918349535,0.2910186109819792,2024-06-09 16:35:44+00:00,2025-06-07 15:09:30+00:00
