epoch,n_common_drops,leg,band_low_hz,band_high_hz,positive_power,negative_power,positive_minus_negative
8,19,return,15.0,30.0,0.07350544949905743,0.006396281015122334,0.0671091684839351
9,18,outbound,3.0,15.0,0.10189294343809246,0.010218594053012318,0.09167434938508015
9,18,outbound,15.0,30.0,0.1140872269280839,0.007629900333105338,0.10645732659497856
9,18,return,3.0,15.0,0.03128466063076968,0.009087544761460134,0.022197115869309544
9,18,return,15.0,30.0,0.06276694256978166,0.007259375511600795,0.055507567058180864
10,18,outbound,3.0,15.0,0.09193947833637978,0.009570793027850513,0.08236868530852927
10,18,outbound,15.0,30.0,0.1079198717207823,0.007663765813012601,0.10025610590776969
10,18,return,3.0,15.0,0.031754202045386315,0.0076749710392559735,0.024079231006130342
10,18,return,15.0,30.0,0.07026043694382726,0.0060250035518587056,0.06423543339196855
11,18,outbound,3.0,15.0,0.09447147626631058,0.008752571468785114,0.08571890479752547
11,18,outbound,15.0,30.0,0.10550893322884142,0.006883763397211758,0.09862516983162967
11,18,return,3.0,15.0,0.027594516289338022,0.00634730773812411,0.02124720855121391
11,18,return,15.0,30.0,0.06635833029386784,0.006664850025907444,0.0596934802679604
12,18,outbound,3.0,15.0,0.0963988031784255,0.009353825998691799,0.0870449771797337
12,18,outbound,15.0,30.0,0.09979398375991277,0.006226973925774338,0.09356700983413843
12,18,return,3.0,15.0,0.030344209659751736,0.00857072159037167,0.021773488069380065
12,18,return,15.0,30.0,0.05512596875511486,0.007477257489405743,0.04764871126570912
13,20,outbound,3.0,15.0,0.08764183927844041,0.009457231007479763,0.07818460827096065
13,20,outbound,15.0,30.0,0.11502249283287731,0.007310126300981084,0.10771236653189623
13,20,return,3.0,15.0,0.026082544099340542,0.007052350118891533,0.019030193980449008
13,20,return,15.0,30.0,0.06410117127300516,0.006204544515535065,0.05789662675747009
14,20,outbound,3.0,15.0,0.07752087609045145,0.008393080054338854,0.0691277960361126
14,20,outbound,15.0,30.0,0.09761413897018821,0.007920088484716387,0.08969405048547183
14,20,return,3.0,15.0,0.025117148266155333,0.0070863541390158175,0.018030794127139517
14,20,return,15.0,30.0,0.057765643940019124,0.006343058359212255,0.05142258558080687
15,19,outbound,3.0,15.0,0.06972264462290545,0.009714573206445276,0.060008071416460175
15,19,outbound,15.0,30.0,0.09703498024771398,0.006640379345117672,0.09039460090259631
15,19,return,3.0,15.0,0.02408786864146726,0.008497432317495838,0.015590436323971422
15,19,return,15.0,30.0,0.04358765605042729,0.006253318105500793,0.03733433794492649
16,20,outbound,3.0,15.0,0.07718352406236804,0.010852764421218228,0.06633075964114982
16,20,outbound,15.0,30.0,0.10457412721191976,0.007287266178056534,0.09728686103386323
16,20,return,3.0,15.0,0.023504004456392537,0.00711366263481944,0.016390341821573097
16,20,return,15.0,30.0,0.04939615657751102,0.005856918855617163,0.04353923772189386
17,20,outbound,3.0,15.0,0.0829004170952366,0.012590005129550507,0.07031041196568609
17,20,outbound,15.0,30.0,0.10187328419481675,0.007239051881870342,0.09463423231294642
17,20,return,3.0,15.0,0.023557408016546575,0.008964711169869116,0.01459269684667746
17,20,return,15.0,30.0,0.04307971002767062,0.006391886724444609,0.036687823303226015
18,18,outbound,3.0,15.0,0.08241449408867901,0.00974992551181943,0.07266456857685959
18,18,outbound,15.0,30.0,0.10290687253945671,0.006726920117219351,0.09617995242223736
