trial_id,estimated_dvv,estimated_dvv_se,n_channels,nuisance_intercept_s,residual_scale_s,median_channel_correlation
N507825d53e7cfbf1,0.001094282664,0.001860452354,71,-0.0005148008069,0.0003958134726,0.9765900373
N7ee58f82a9ab896e,0.0006523886551,0.002153128723,71,4.465695952e-05,0.0005790056789,0.9782370329
N76244872640e1509,-0.0003769745296,0.001836152668,71,0.0001302790311,0.0004643967106,0.9796488881
N1bbfb14a8cb01b3d,-0.007176971814,0.002263879141,71,-0.0001915882594,0.0005274844252,0.9823026061
N57476f329abf60d9,-0.001930883796,0.001962827253,71,2.535293727e-05,0.0005581729191,0.9819272161
N5c74844fff8585b1,0.001639275671,0.002035140177,71,0.0001252221928,0.0005848408808,0.9815835953
N14420e9e0ad649e5,-0.00202747454,0.001528048468,70,-7.935094246e-05,0.0003087640794,0.9635698199
N4344f43b50613dd8,0.005331590331,0.001937984107,71,0.0006390951865,0.0004704675324,0.976991415
N147d1db1fe768ce2,0.000598409936,0.002114368284,71,-0.0003736216078,0.0005094147378,0.9497104883
N65d9d5ff712dd76f,-0.0001967443914,0.002165004923,71,0.0001980927706,0.0005862984151,0.9778383374
N47d563ae419869ba,-0.001314898948,0.002117242029,69,-0.0003731190853,0.0004420679177,0.9829351306
N6e7810f5094431b5,-0.001888502851,0.001708594314,71,0.0004998009154,0.0004242526809,0.9779016376
N76ce678a5d736ebf,-0.009894654097,0.002152471687,71,4.364682243e-05,0.0005806338951,0.9720313549
N34e8ada771f7c79d,-0.002428310734,0.001962144722,71,2.530302558e-05,0.0005578421939,0.981587708
N69ebda39153a24b2,0.0002941208004,0.002111851071,71,-0.0003738528022,0.0005072239286,0.9488346577
N700d33918af5abe2,-0.000448311265,0.001746672699,71,-2.836507864e-05,0.0004569750771,0.9782494307
N59b2f7a37237f276,0.0001773171215,0.001816428502,71,4.514658688e-05,0.0004438529311,0.9810323715
N282b0f3f1f8b57b7,0.003516382382,0.001669707436,71,-0.0002469326753,0.0004288048588,0.9728090167
N336e879156a7e7ab,-0.0001231880267,0.001816898257,71,4.493707573e-05,0.0004440131678,0.9815087914
N169793a188efd5d8,-0.0007176423478,0.002046300973,71,-9.361135076e-05,0.0005765534583,0.9834954739
N579bb6d58a8c13ef,0.004276191998,0.001927835452,71,0.0004489845429,0.0004801564256,0.9823720455
N4a6500436d91deb3,0.007913119675,0.001605425473,71,-0.0003717217568,0.0003620031279,0.9869138598
N6a5faada16639ee7,0.0007648261017,0.001775456206,69,-0.0002121274403,0.0003998425426,0.9860847592
N2a6c9711ef96617b,0.0009936767022,0.001852650268,70,0.0001816538575,0.0004743175272,0.9837929606
N1638a2aaf38730d2,-0.0003832323226,0.001917466679,70,0.0002618846483,0.0005905124126,0.9797547758
N62ae0bf3d107c58e,-0.001107730723,0.001838634137,70,-3.047897467e-05,0.0004524887456,0.9348101914
N6acc4b46590839ae,0.001073442446,0.001715949406,70,0.0001359015249,0.0003573927173,0.9891201854
N4c89562c2e3a8dc4,-4.689277719e-05,0.002154634548,71,4.442748266e-05,0.0005805978666,0.9798650146
N16c0df7bd828d14f,-0.001420495514,0.002045393018,71,-9.402208101e-05,0.0005754494332,0.9828286171
N5cca2b51e1aa7916,0.002635335772,0.002035329854,71,0.0001254704384,0.0005849815129,0.9782095551
