band_low_hz,band_high_hz,canonical_burst_index,n_common_drops,positive_slowness_ms_per_m,positive_t0_s,positive_semblance,negative_slowness_ms_per_m,negative_t0_s,negative_semblance,direction_margin
35.0,45.0,29,18,0.33898305084745767,-0.1,0.6750178337097168,-0.32786885245901637,0.07600000000000015,0.035430893301963806,0.639586940407753
35.0,45.0,30,19,0.3333333333333333,-0.092,0.33962786197662354,-0.3508771929824561,-0.011999999999999927,0.04914502426981926,0.2904828377068043
35.0,45.0,31,18,0.3448275862068965,-0.06399999999999997,0.21104301512241364,-0.35714285714285715,0.036000000000000115,0.038791071623563766,0.17225194349884987
35.0,45.0,32,19,0.3333333333333333,-0.043999999999999956,0.11316262930631638,-0.5263157894736842,0.1240000000000002,0.04053675755858421,0.07262587174773216
35.0,45.0,33,19,0.3508771929824561,-0.03999999999999995,0.3012809157371521,-0.47619047619047616,0.08000000000000015,0.034658897668123245,0.26662201806902885
35.0,45.0,34,21,0.33898305084745767,-0.06399999999999997,0.4229702353477478,-0.6666666666666666,-0.05999999999999997,0.04263528436422348,0.3803349509835243
35.0,45.0,35,17,0.33898305084745767,-0.1,0.7076563239097595,-0.3076923076923077,0.05200000000000013,0.031872496008872986,0.6757838279008865
35.0,45.0,36,19,0.35714285714285715,-0.00399999999999992,0.14204666018486023,-0.33898305084745767,0.06800000000000014,0.028977233916521072,0.11306942626833916
35.0,45.0,37,18,0.33898305084745767,-0.05999999999999997,0.10993135720491409,-0.6060606060606061,0.3080000000000004,0.030919725075364113,0.07901163212954998
35.0,45.0,38,19,0.33898305084745767,-0.1,0.7144665718078613,-0.4,0.06400000000000014,0.030844055116176605,0.6836225166916847
35.0,45.0,39,22,0.3508771929824561,-0.096,0.13885566592216492,-0.22222222222222224,0.016000000000000097,0.03843190521001816,0.10042376071214676
35.0,45.0,40,18,0.3508771929824561,-0.092,0.15111812949180603,-0.4347826086956522,0.048000000000000126,0.042426493018865585,0.10869163647294044
35.0,45.0,41,18,0.33898305084745767,0.012000000000000094,0.11473269015550613,-0.4347826086956522,0.05600000000000013,0.03464168310165405,0.08009100705385208
35.0,45.0,42,19,0.33898305084745767,-0.1,0.7035431861877441,-0.4444444444444445,0.3200000000000004,0.04265232011675835,0.6608908660709858
35.0,45.0,43,19,0.33898305084745767,-0.1,0.6806083917617798,-0.4347826086956522,0.09200000000000016,0.030301587656140327,0.6503068041056395
35.0,45.0,44,18,0.33898305084745767,-0.06799999999999998,0.6228674650192261,-0.47619047619047616,-0.023999999999999938,0.03566011041402817,0.5872073546051979
35.0,45.0,45,19,0.33898305084745767,-0.055999999999999966,0.16997162997722626,-0.20833333333333334,0.07600000000000015,0.04699084535241127,0.12298078462481499
45.0,60.0,0,18,0.3333333333333333,-0.092,0.6792877912521362,-0.31746031746031744,0.3200000000000004,0.06127186119556427,0.618015930056572
45.0,60.0,1,17,0.3225806451612903,-0.023999999999999938,0.1972447782754898,-0.5,0.048000000000000126,0.023637067526578903,0.1736077107489109
45.0,60.0,2,18,0.33898305084745767,-0.096,0.6903738379478455,-0.33898305084745767,0.2960000000000004,0.03862190619111061,0.6517519317567348
45.0,60.0,3,18,0.3333333333333333,-0.092,0.6961936950683594,-0.3125,0.28000000000000036,0.043531667441129684,0.6526620276272297
45.0,60.0,4,19,0.3448275862068965,-0.03599999999999995,0.1513126641511917,-0.39215686274509803,0.048000000000000126,0.03529509902000427,0.11601756513118744
45.0,60.0,5,19,0.33898305084745767,-0.092,0.5997540354728699,-0.2061855670103093,0.1280000000000002,0.021660741418600082,0.5780932940542698
45.0,60.0,6,17,0.33898305084745767,-0.08399999999999999,0.32049059867858887,-0.37037037037037035,0.06400000000000014,0.024641012772917747,0.2958495859056711
45.0,60.0,7,19,0.3333333333333333,-0.07599999999999998,0.12330964207649231,-0.39215686274509803,0.25200000000000033,0.017121048644185066,0.10618859343230724
45.0,60.0,8,19,0.33898305084745767,-0.092,0.6647711992263794,-0.5405405405405406,0.3200000000000004,0.03484448418021202,0.6299267150461674
45.0,60.0,9,18,0.33898305084745767,-0.096,0.6522278189659119,-0.588235294117647,0.3160000000000004,0.04253586754202843,0.6096919514238834
45.0,60.0,10,18,0.33898305084745767,-0.05199999999999996,0.076724573969841,-0.2597402597402597,0.06400000000000014,0.01773892715573311,0.058985646814107895
