leg,band_low_hz,band_high_hz,aperture_index,start_m,stop_m,center_m,direction,discovery_slowness_ms_per_m,discovery_center_time_s,discovery_semblance,validation_semblance
outbound,3.0,15.0,7,1400.7434,1792.7882,1599.82865,positive,0.6445868945868946,1.212,0.34594345693769324,0.47307846351870636
outbound,3.0,15.0,7,1400.7434,1792.7882,1599.82865,negative,-0.6445868945868946,0.86,0.04743523885112422,0.019133307512244898
outbound,3.0,15.0,8,1600.8496,1992.8944000000001,1799.93485,positive,0.6801994301994302,1.2,0.2211920124761731,0.08810521667259938
outbound,3.0,15.0,8,1600.8496,1992.8944000000001,1799.93485,negative,-0.6267806267806268,0.020000000000000004,0.0477234328599497,0.016774876935060627
outbound,3.0,15.0,9,1800.9558,2193.0006,2000.04105,positive,0.7158119658119658,1.3239999999999998,0.17736510444172268,0.12554735495801664
outbound,3.0,15.0,9,1800.9558,2193.0006,2000.04105,negative,-0.5733618233618234,2.66,0.06417091257459744,0.07777438099685723
outbound,3.0,15.0,10,2001.0620000000001,2393.1068,2200.14725,positive,0.6445868945868946,1.66,0.4005384104045907,0.18851066499649918
outbound,3.0,15.0,10,2001.0620000000001,2393.1068,2200.14725,negative,-0.6801994301994302,2.54,0.050410495796834945,0.15298367945687266
outbound,3.0,15.0,11,2201.1682,2593.213,2400.25345,positive,0.6445868945868946,1.628,0.7830543797362952,0.17317941181626764
outbound,3.0,15.0,11,2201.1682,2593.213,2400.25345,negative,-0.5555555555555556,0.196,0.05389692960821869,0.04744516428075849
outbound,3.0,15.0,12,2401.2744000000002,2793.3192,2600.35965,positive,0.6445868945868946,1.708,0.4418275964375686,0.06784781998515509
outbound,3.0,15.0,12,2401.2744000000002,2793.3192,2600.35965,negative,-0.6623931623931624,2.472,0.08928343769433321,0.012583197119485953
outbound,3.0,15.0,13,2601.3806,2993.4254,2800.46585,positive,0.6623931623931624,1.712,0.1131747315609281,0.05244452474090864
outbound,3.0,15.0,13,2601.3806,2993.4254,2800.46585,negative,-0.5911680911680912,2.42,0.07645149034623151,0.03906211213681373
outbound,3.0,15.0,14,2801.4868,3193.5316000000003,3000.57205,positive,0.5911680911680912,2.0,0.15911605926512393,0.07343451518964281
outbound,3.0,15.0,14,2801.4868,3193.5316000000003,3000.57205,negative,-0.6801994301994302,2.472,0.08962488194622673,0.07941018082063277
outbound,3.0,15.0,15,3001.593,3393.6378,3200.67825,positive,0.6445868945868946,2.1799999999999997,0.2229996339196431,0.09780031473570662
outbound,3.0,15.0,15,3001.593,3393.6378,3200.67825,negative,-0.5555555555555556,2.62,0.1509527872058445,0.09755814857327151
outbound,15.0,30.0,0,0.0,392.0448,199.08525,positive,0.5733618233618234,0.288,0.09718350715463811,0.10267664046768736
outbound,15.0,30.0,0,0.0,392.0448,199.08525,negative,-0.6445868945868946,0.0040000000000000036,0.11613066032908194,0.11899891563943768
outbound,15.0,30.0,1,200.1062,592.1510000000001,399.19145000000003,positive,0.5555555555555556,0.428,0.10244569038510044,0.10530266547021591
outbound,15.0,30.0,1,200.1062,592.1510000000001,399.19145000000003,negative,-0.6445868945868946,0.0,0.1208024112045955,0.15672104319517352
outbound,15.0,30.0,2,400.2124,792.2572,599.29765,positive,0.698005698005698,0.656,0.38599198088202985,0.3789220206575965
outbound,15.0,30.0,2,400.2124,792.2572,599.29765,negative,-0.6267806267806268,2.7319999999999998,0.11161688401231716,0.09781249000225174
outbound,15.0,30.0,3,600.3186000000001,992.3634000000001,799.40385,positive,0.7514245014245015,0.54,0.46986633632232555,0.478636938182116
outbound,15.0,30.0,3,600.3186000000001,992.3634000000001,799.40385,negative,-0.7336182336182336,1.956,0.10846127439040025,0.10924820756525928
outbound,15.0,30.0,4,800.4248,1192.4696000000001,999.51005,positive,0.698005698005698,0.5840000000000001,0.4107238810858025,0.40349918155904846
outbound,15.0,30.0,4,800.4248,1192.4696000000001,999.51005,negative,-0.5555555555555556,1.8279999999999998,0.1415668470833105,0.13991258912645124
