epoch,n_common_drops,split,assumed_depth_m,leg,band_low_hz,band_high_hz,positive_semblance,negative_semblance,positive_minus_negative,positive_slowness_ms_per_m,positive_velocity_mps,positive_time_s
21,19,validation,3192.0,outbound,3.0,15.0,0.009632338290999657,0.12046046441553418,-0.11082812612453452,0.7692307692307693,1300.0,1.152
22,18,discovery,3192.0,outbound,3.0,15.0,0.0171701495565692,0.026565170584716663,-0.009395021028147463,0.7692307692307693,1300.0,1.152
23,18,validation,3192.0,outbound,3.0,15.0,0.034326566878789974,0.041050223924079865,-0.006723657045289891,0.7692307692307693,1300.0,1.152
24,20,discovery,3192.0,outbound,3.0,15.0,0.02424263477879594,0.09783940593831944,-0.0735967711595235,0.7692307692307693,1300.0,1.152
25,20,validation,3192.0,outbound,3.0,15.0,0.018989997101115555,0.021856193014921425,-0.0028661959138058697,0.7692307692307693,1300.0,1.152
26,18,discovery,3192.0,outbound,3.0,15.0,0.0211997102111392,0.021864724029821887,-0.0006650138186826866,0.7692307692307693,1300.0,1.152
27,19,validation,3192.0,outbound,3.0,15.0,0.01857523489644151,0.027414203038227718,-0.008838968141786207,0.7692307692307693,1300.0,1.152
28,17,discovery,3192.0,outbound,3.0,15.0,0.016423275661105206,0.13778427688749809,-0.12136100122639287,0.7692307692307693,1300.0,1.152
29,18,validation,3192.0,outbound,3.0,15.0,0.03989458476720005,0.025388671680714677,0.014505913086485373,0.7692307692307693,1300.0,1.152
30,19,discovery,3192.0,outbound,3.0,15.0,0.019441191610572433,0.023986880598053713,-0.00454568898748128,0.7692307692307693,1300.0,1.152
31,18,validation,3192.0,outbound,3.0,15.0,0.025398271859105204,0.12197836015128141,-0.09658008829217621,0.7692307692307693,1300.0,1.152
32,19,discovery,3192.0,outbound,3.0,15.0,0.04861665651262581,0.062271416210366325,-0.013654759697740514,0.7692307692307693,1300.0,1.152
33,19,validation,3192.0,outbound,3.0,15.0,0.03801763263997809,0.014279244694355002,0.023738387945623086,0.7692307692307693,1300.0,1.152
34,21,discovery,3192.0,outbound,3.0,15.0,0.013154292581659744,0.03205095056675409,-0.018896657985094344,0.7692307692307693,1300.0,1.152
35,17,validation,3192.0,outbound,3.0,15.0,0.028007878373875673,0.053055231942161336,-0.025047353568285663,0.7692307692307693,1300.0,1.152
36,19,discovery,3192.0,outbound,3.0,15.0,0.04221345791135308,0.02816176718221764,0.014051690729135438,0.7692307692307693,1300.0,1.152
37,18,validation,3192.0,outbound,3.0,15.0,0.026633068932735385,0.024639740265904056,0.001993328666831329,0.7692307692307693,1300.0,1.152
38,19,discovery,3192.0,outbound,3.0,15.0,0.013728801318432076,0.07550800473222358,-0.0617792034137915,0.7692307692307693,1300.0,1.152
39,22,validation,3192.0,outbound,3.0,15.0,0.030180579177896513,0.07061996980081671,-0.04043939062292019,0.7692307692307693,1300.0,1.152
40,18,discovery,3192.0,outbound,3.0,15.0,0.03017929339613312,0.04654772481532583,-0.016368431419192715,0.7692307692307693,1300.0,1.152
41,18,validation,3192.0,outbound,3.0,15.0,0.029144543499727678,0.04699357473021827,-0.017849031230490593,0.7692307692307693,1300.0,1.152
42,19,discovery,3192.0,outbound,3.0,15.0,0.014501790338697569,0.14182067385159905,-0.1273188835129015,0.7692307692307693,1300.0,1.152
43,19,validation,3192.0,outbound,3.0,15.0,0.02217875386879273,0.028871403704672477,-0.006692649835879746,0.7692307692307693,1300.0,1.152
