leg,band_low_hz,band_high_hz,assumed_depth_m,target_leg_coordinate_m,window_start_m,window_stop_m,window_center_m,n_channels,direction,discovery_slowness_ms_per_m,discovery_velocity_mps,discovery_center_time_s,discovery_semblance,validation_semblance,validation_trajectory_rms_ratio,target_null_permutation_p
return,15.0,30.0,3250.0,225.3137999999999,124.55590000000001,322.6202,223.58805,49,positive,0.7051282051282052,1418.181818181818,0.62,0.29142103082892773,0.2564687593475994,1.067389243607322,nan
return,15.0,30.0,3250.0,225.3137999999999,124.55590000000001,322.6202,223.58805,49,negative,-0.5555555555555556,-1800.0,0.176,0.1231003130291316,0.1467093437208945,1.5799075263860227,nan
return,3.0,15.0,3300.0,175.3137999999999,75.55030000000001,273.6146,174.58245,49,positive,0.6196581196581197,1613.7931034482758,0.39599999999999996,0.13627384406917978,0.07224149494590851,1.3716776667559991,nan
return,3.0,15.0,3300.0,175.3137999999999,75.55030000000001,273.6146,174.58245,49,negative,-0.5876068376068376,-1701.818181818182,0.21599999999999997,0.09608749927779112,0.027304811261048122,1.0437453717567537,nan
return,15.0,30.0,3300.0,175.3137999999999,75.55030000000001,273.6146,174.58245,49,positive,0.5769230769230769,1733.3333333333335,0.296,0.2729476451007758,0.23592243057282072,1.6302675019356307,nan
return,15.0,30.0,3300.0,175.3137999999999,75.55030000000001,273.6146,174.58245,49,negative,-0.5555555555555556,-1800.0,2.2079999999999997,0.09870479579734898,0.02681913426046138,0.7066308198334085,nan
return,3.0,15.0,3302.0,173.3137999999999,73.5084,271.5727,172.54055,49,positive,0.5982905982905983,1671.4285714285713,0.364,0.07406384477439022,0.03459144820260386,1.0074654109363101,0.236
return,3.0,15.0,3302.0,173.3137999999999,73.5084,271.5727,172.54055,49,negative,-0.5555555555555556,-1800.0,0.372,0.07557900573930733,0.033027299294547355,1.0563333817929217,0.218
return,15.0,30.0,3302.0,173.3137999999999,73.5084,271.5727,172.54055,49,positive,0.5769230769230769,1733.3333333333335,0.5880000000000001,0.24062435930434098,0.14910323614972812,1.0344472047832918,0.002
return,15.0,30.0,3302.0,173.3137999999999,73.5084,271.5727,172.54055,49,negative,-0.5555555555555556,-1800.0,0.20399999999999996,0.06153562419185352,0.0779832011852061,1.4364145552332785,0.03
return,3.0,15.0,3350.0,125.3137999999999,24.5028,222.5671,123.53495000000001,49,positive,0.7585470085470085,1318.3098591549297,1.168,0.045003570585834846,0.026906071504481353,0.5514805433014365,nan
return,3.0,15.0,3350.0,125.3137999999999,24.5028,222.5671,123.53495000000001,49,negative,-0.5555555555555556,-1800.0,1.1159999999999999,0.048047266756776834,0.014564994881858657,0.7803809225117202,nan
return,15.0,30.0,3350.0,125.3137999999999,24.5028,222.5671,123.53495000000001,49,positive,0.5982905982905983,1671.4285714285713,1.288,0.06453650932201765,0.05871167535419909,0.31904194631510635,nan
return,15.0,30.0,3350.0,125.3137999999999,24.5028,222.5671,123.53495000000001,49,negative,-0.5555555555555556,-1800.0,0.432,0.0568943637071629,0.021061861553701527,0.7471940839743404,nan
return,3.0,15.0,3400.0,75.3137999999999,0.0,198.0643,99.03215,49,positive,0.5662393162393162,1766.0377358490566,2.112,0.0504331018468044,0.06009456897049948,0.5582426331016744,nan
return,3.0,15.0,3400.0,75.3137999999999,0.0,198.0643,99.03215,49,negative,-0.5876068376068376,-1701.818181818182,2.008,0.0441387425956422,0.04542932386376634,0.5695906840300283,nan
return,15.0,30.0,3400.0,75.3137999999999,0.0,198.0643,99.03215,49,positive,0.7478632478632478,1337.1428571428573,2.276,0.04522055559559865,0.040593550672155906,0.1815350649673404,nan
return,15.0,30.0,3400.0,75.3137999999999,0.0,198.0643,99.03215,49,negative,-0.5876068376068376,-1701.818181818182,1.704,0.058294987945650946,0.04845062743068693,0.2882941521497495,nan
return,3.0,15.0,3450.0,25.3137999999999,0.0,198.0643,99.03215,49,positive,0.5662393162393162,1766.0377358490566,2.112,0.0504331018468044,0.06009456897049948,0.5582426331016744,nan
return,3.0,15.0,3450.0,25.3137999999999,0.0,198.0643,99.03215,49,negative,-0.5876068376068376,-1701.818181818182,2.008,0.0441387425956422,0.04542932386376634,0.5695906840300283,nan
return,15.0,30.0,3450.0,25.3137999999999,0.0,198.0643,99.03215,49,positive,0.7478632478632478,1337.1428571428573,2.276,0.04522055559559865,0.040593550672155906,0.1815350649673404,nan
return,15.0,30.0,3450.0,25.3137999999999,0.0,198.0643,99.03215,49,negative,-0.5876068376068376,-1701.818181818182,1.704,0.058294987945650946,0.04845062743068693,0.2882941521497495,nan
